Name,Score,Fairway Hits,C1 Reg,C2 Reg,C1 Putting,C2 Putting,OB
Gannon Buhr,22,0.74,0.43,0.7,0.9,0.33,6
Simon Lizotte,20,0.7,0.43,0.65,0.88,0.5,9
Calvin Heimburg,19,0.88,0.37,0.76,0.84,0.36,8
James Proctor,19,0.81,0.35,0.76,0.86,0.3,5
Austin Turner,18,0.72,0.48,0.67,0.68,0.3,3
Vaino Makela,17,0.77,0.37,0.65,0.94,0.21,3
Eagle McMahon,17,0.65,0.41,0.63,0.89,0.28,10
Ezra Aderhold,17,0.7,0.35,0.63,0.85,0.29,3
Mason Ford,17,0.67,0.37,0.56,0.89,0.27,5
Paul McBeth,16,0.7,0.46,0.67,0.79,0.33,7
Corey Ellis,16,0.74,0.35,0.59,0.82,0.47,8
Joona Heinanen,16,0.75,0.43,0.69,0.78,0.37,5
Kyle Klein,16,0.75,0.31,0.65,0.88,0.32,10
